,Date,User,Tweet
0,2019-05-18 19:48:55+00:00,IshvenderS,"So like always we can expect the exit poll to inflate the seats like the promises of Modi. A simple message from my forward looking humble community- Former Prime Minister @narendramodi, your time's up. @aakash_du #LokSabhaElections2019 #ReporterDiary #KedarNath #MuteModi #Yeti https://t.co/IUN8nzjcaJ"
1,2019-05-18 19:39:29+00:00,webvarta,"Kedarnath: Prime Minister Narendra Modi meditates at a cave called 'Dhyan Kutia' in Uttarakhand's Kedarnath on May 18, 2019.
@INCIndia @BJP4Delhi @narendramodi #LokSabhaElections2019 https://t.co/hxZUAtMdLJ"
2,2019-05-18 18:56:52+00:00,drnitinchaube,"Congrats for the change #australiavotes2019 and #ScottMorrison sir!

Is the same wind of change going to bring in #Congress or #UPA3Coming #LokSabhaElections2019 along with #Rahul @INCIndia @RahulGandhi @DickDarryl @rkhuria @kukk44 @MahilaCongress"
3,2019-05-18 18:00:48+00:00,maqbool_sm,"PM Modi not intelligent, compelled people to fry pakoras: @RahulGandhi

#LokSabhaElections2019
#Phase7 #VotingRound7
 https://t.co/d51JaSoq81 via @indiatoday"
4,2019-05-18 16:53:43+00:00,IamNewsWatch,"Reflecting his spiritual roots, PM @narendramodi attains peace at the feet of Lord #Kedarnath #modi
#KedarnathShrine
#LokSabhaElections2019 
#ModiInKedarnath

https://t.co/8UyV37b0Pc"
5,2019-05-18 16:36:24+00:00,KarunakarINC,"First #Pressconference of PM modi...😂😂 #LokSabhaElections2019 #BJP 

@INCIndia @RahulGandhi @AICCMedia @nsui @guptar @rssurjewala @Neerajkundan @SaimonFarooqui  @GulzebAhmedINC @AnandhJose @shauryaveerNSUI @RishikeshINC @VenkatBalmoor @Azzy_Chaudhary @jittasunilyadav https://t.co/5VvBvWeGlg"
6,2019-05-18 16:01:49+00:00,ModiSnoops,"""The Monk who sold his country.""

#NarendraModi #LokSabhaElections2019 #BJP #Elections2019 @narendramodi #Ambani #Adani #Modi https://t.co/MA2hVpb4gB"
7,2019-05-18 15:39:15+00:00,hemusingh,"Rahul Gandhi's new gem 
New creation
New country

Kindustan

#Kindustan 
#LokSabhaElections2019
#Kedarnath

@PoliticalKida 
@BJP4India 
@narendramodi https://t.co/kioIewJzGA"
8,2019-05-18 15:10:29+00:00,ManishS39533396,"दीप आरती अयोध्या से,
शुभकामनाये एक उज्जवल भविष्य व् श्रेष्ठ भारत के लिए 
@narendramodi #LokSabhaElections2019 #aayega_modi_hi https://t.co/7bWSVqxoAM"
9,2019-05-18 15:07:31+00:00,news24tvchannel,"Shiv Sadhna for Victory. . . Modi will meditate all night after walking 2 kms to cave 

#News24TodaysChanakya #ExitPoll #LokSabhaElections2019 #PMModi @narendramodi 

https://t.co/smaugyL7af"
10,2019-05-18 14:24:53+00:00,YouPolitical4,"PM @narendramodi Chowkidaar Secure India from the Congress. #Kedarnath

#LokSabhaElections2019 #BJP .

PM Narendra Modi Chowkidar secure India from Congress. Congress Spread Corruption from 70 years. Our Govt Shut Down the market of Corruption Spread by Congress party. https://t.co/ycR7XpaarG"
11,2019-05-18 13:54:50+00:00,me_dineshudhay,"29 ஆண்டுகளுக்குப் பிறகு பிரதமர் மோடி கேதர்நாத்தில் தியானம்  @narendramodi

தேர்தல் முடிவிற்கு இந்த தியானம் கை கொடுக்குமா ??? 

மே 23 அன்று தெரியும் 🏃🏃 

After 29 years Pm modi in kedarnath temple.

#LokSabhaElections2019
 #KedarnathTemple #NarendraModi @PMOIndia @BJP4TamilNadu https://t.co/XR17gCCWm7"
12,2019-05-18 13:39:14+00:00,news24tvchannel,"To beat Mamata and Maya, Modi did this in Bengal, UP 

#News24TodaysChanakya #LokSabhaElections2019 #PMModi @narendramodi 
 https://t.co/B4IOPKYHjr"
13,2019-05-18 13:22:42+00:00,i_PrashantRana,"""बाबा #केदारनाथ मोदी से नाराज है और भग्वान #राम भी, #प्रधानमंत्री बनाना मुश्किल है"" राशिद अल्वी 

#केदारनाथ #LokSabhaElections2019
#लोकसभा @narendramodi #RashidAlvi

Rashid Alvi takes a dig at PM Narendra Modi over his Kedarnath visit https://t.co/9Q16WMBq9O"
14,2019-05-18 12:05:52+00:00,harshshah_,The Difference! #Modi #LokSabhaElections2019 @narendramodi https://t.co/qOai0pYFdY
15,2019-05-18 11:05:33+00:00,IshvenderS,Haha. Modi Ji will be replacing advani Ji as margdarshak. #LokSabhaElections2019 #ModiHaiTohGodseHai #ModiLies #ModiFlopPressconference #LokSabhaElection2019 @divyaspandana @aakash_du @nsui @GauravC95764869 @shaktisinhgohil @RahulGandhi @priyankagandhi @_pallavighosh @abrar383 https://t.co/P6ulbmqVkT
16,2019-05-18 10:17:51+00:00,profanand7,"People are now talking about from ""why Modi should not come in power"" to ""what Modi should do if he comes to power"", this clearly shows that he is coming to power again @narendramodi @BJP4India #LokSabhaElections2019 #Academics4Namo https://t.co/NoUTa83uNK"
17,2019-05-18 10:09:30+00:00,DipantoS,"At 5 lakh #Kolkata witnessed the highest attendance in #PrimeMinister @narendramodi rally of 3rd April during the #LokSabhaElections2019 

#Bengal is with #Modi 
#DeshKaGauravModi 
#AbkiBaar300Paar"
18,2019-05-18 09:51:34+00:00,news24tvchannel,"51 days .... What Modi did in Bengal, UP

@narendramodi @PMOIndia @BJP4India @BJP4Bengal @DilipGhoshBJP 

@BJP4UP @AmitShah 

#LokSabhaElections2019 

https://t.co/KntY27YIzh"
19,2019-05-18 08:19:16+00:00,AKLalB,".@RahulGandhi @INCIndia @priyankagandhi #SoniaGandhi @RobertVadra2016 #Godse, not @RSSorg killed #MKGandhi, why revise your history #LokSabhaElections2019
#DeshKaGauravModi
#Modi
#ModiOnceMore #ModiAaneWalaHai #ModiinKedarnath #breaking #India #AmitShah 
https://t.co/OQLLx42ILW https://t.co/pjw901tie3"
