,User,SupEmo
0,advosushildixit,nmn
1,jiaeur,nmn
2,PVenkatGandhi,nmn
3,TheNirbhay1,nmp
4,ShakeChilli,nmp
5,UttarrPradesh,nmp
6,Mdsr20351488,nmp
7,ShaileshWrites,nmp
8,iamljp,nmn
9,TheShobhitAzad,nmn
10,sheikh541,nmn
11,Mdsr20351488,nmp
12,JosephPravinP,nmp
13,TheSaptarshiRay,nmp
14,AshokeRattan,nmn
15,VandanaMegastar,nmp
16,Iqbal_Hussains,nmn
17,RGspeak,nmp
18,nirajkushwa,nmp
19,bhagat_9495,nmp
20,UdayiCODE,nmp
21,SandipGhose,nmn
22,NehShh2,nmp
23,abdullalsebea,nmp
24,freespeechabi,nmp
25,ninadsheth,nmn
26,VijayMittal2512,nmn
27,KedarSirohi,nmn
28,zarbealikazmi,nmn
29,subhamsenapaty,nmp
30,soumyasarkar007,nmn
31,Od_Vigilante,nmp
32,Scorpion1007,nmn
33,devenrolly1987,nmp
34,BapiM14,nmn
35,touthang_seiboi,nmp
36,AKLalB,nmn
37,AKLalB,nmn
38,NrVinayakumar,nmn
39,NrVinayakumar,nmn
40,NrVinayakumar,nmn
41,mayursejpal,nmn
42,mayursejpal,nmn
43,NudgeIndia,nmp
44,lokayat,nmn
45,ravirao83,nmn
46,INC_KONARKKD,nmp
47,OnkarMhaskar,nmn
48,PrakashPnegi,nmn
49,dev_muzic,nmn
50,jhambt,nmp
51,ninadsheth,nmn
52,jiturocking2013,nmp
53,Shasankp2,nmn
54,ninadsheth,nmn
55,ninadsheth,nmn
56,MundaTatawala,nmp
57,ninadsheth,nmn
58,ninadsheth,nmn
59,NeerajS13318461,nmn
60,NeerajS13318461,nmp
61,MOEMyOwnEvent,nmp
62,imamitverma,nmp
63,sbb_ca,nmp
64,CaptAKJ,nmp
65,mrmishra2001,nmn
66,CaptAKJ,nmn
67,sandipoec,nmn
68,Sudhirshetty08,nmn
69,HariVimalesh,nmn
70,Kalyani125lakhe,nmp
71,ManuSenva,nmp
72,DipantoS,nmp
73,madhusudan41,nmn
74,GaremaJ,nmn
75,omkarmainane,nmp
76,CadetRegency,nmn
77,tfarcdrow,nmn
78,HashimYJSpeaks,nmn
79,puranik_kaushik,nmn
80,sannisinha,nmn
81,CoolRahulBajaj,nmp
82,Utsav6589,nmp
83,KarthikThiru126,nmn
84,pkm1999,nmn
85,pkm1999,nmn
86,pkm1999,nmn
87,PriyaSogani,nmp
88,peppersprae,nmn
89,pkm1999,nmn
90,thedevilishere9,nmp
91,ricky4ricardo,nmp
92,Manojku92436379,nmp
93,Anadinidhana,nmn
94,vi_jaykumar,nmp
95,Ferraodesigns,nmp
96,mehuljain1108,nmp
97,vermsnaren,nmn
98,sumit138,nmn
99,Saffron_Shweta,nmn
100,kritikasrawat25,nmn
101,SharonFeb6,nmn
102,thelivingkind1,nmn
103,lousybug,nmn
104,sasi_21_7,nmp
105,gaur_anubhuti,nmn
106,KKTyagi65,nmp
107,PeacefulHind,nmn
108,DBhandari14,nmp
109,Raghubv,nmp
110,imshaurya1308,nmp
111,activistshiv,nmn
112,umakantsingh_IN,nmn
113,FilmiChat,nmn
114,newsbluntmedia,nmp
115,_dagalti,nmp
116,kumardurgesh262,nmn
117,Vikasguptabjp,nmn
118,neerajbhushan,nmp
119,umakantsingh_IN,nmn
120,HappaNarinder,nmn
121,NeetFiles,nmn
122,Cdhar7,nmn
123,FCSJigarShah,nmn
124,VINEET1966,nmn
125,aanunim,nmp
126,umakantsingh_IN,nmp
127,actindia,nmn
128,Shivauggera,nmn
129,skshukla01INC,nmn
130,dilip_ganatra,nmp
131,hns198387,nmp
132,ptnkant,nmn
133,Dinuraghubansi,nmn
134,vipulsailor,nmp
135,NewsCollector09,nmp
136,NaveenJolly,nmn
137,mukuljrsharma,nmp
138,suresh15021941,nmn
139,TalhaJameel89,nmp
140,Scorpion1007,nmn
141,irrfansaifi,nmn
142,Tweet_NathanPS,nmp
143,mogmbokabhatija,nmn
144,ayusharya14,nmp
145,D1Finger,nmn
146,deepanshah13,nmn
147,sudhaShenoy1,nmn
148,YaaruDaHindu,nmn
149,KaustubhMehta97,nmn
150,KumarReddyCH,nmp
151,Shubham28759999,nmn
152,terence_fdes,nmn
153,Me00957360,nmp
154,deshbhakt_tdb,nmn
155,RajeevPRranjan,nmn
156,KumarReddyCH,nmp
157,firensour1011,nmn
158,shubhrkhattri,nmn
159,goswamyanshuman,nmn
160,manonymos,nmn
161,sumitku69427580,nmn
162,imjassi16,nmn
163,Charas_Gaanja,nmn
164,rashidiakmal,nmp
165,Realaamaadmi13,nmp
166,Shreekant04,nmn
167,StartupGiri,nmn
168,vikshi1311,nmn
169,UnawareTrader,nmp
170,Sajid06khan,nmp
171,Agrawal1019,nmn
172,ThisIsMKG_India,nmn
173,DependraSingh17,nmn
174,DependraSingh17,nmn
175,DependraSingh17,nmn
176,touchsouldeep,nmn
177,jacob3290,nmn
178,firstpost,nmn
179,up_avi,nmn
180,SocioPoliticalW,nmn
181,Deepspeaks_,nmp
182,MServe2grow,nmn
183,AnupamChaturvdi,nmp
184,umakantsingh_IN,nmn
